mode,area,policy,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_adaptive_semantic_count,mode_emergency_count,mode_fixed_count,mode_fixed_paper_like_count,mode_high_count,mode_low_count,mode_medium_count,mode_paper_like_count,mode_raw_count
nonsemantic,100,Stochastic,21.7,39918.710824520946,32.920596023575015,174.11281838198295,87.27694178415834,0.0,0.0,1.0,1.0,-19.135432116863633,,,0.0,,,,,,21.7
nonsemantic,100,LinUCB,23.4,43666.330566558245,36.696118712243205,190.3957378308495,47.25021198914152,0.0,0.0,1.0,1.0,-18.998125346654845,,,0.0,,,,,,23.4
nonsemantic,100,SA,23.2,41219.35719279437,34.1594161820364,179.5449457066665,76.74160918413774,0.0,0.0,1.0,1.0,-19.961994746353092,,,0.0,,,,,,23.2
nonsemantic,100,Greedy,24.4,39296.650410713395,32.927069042147636,170.97315649127083,47.03116185686418,0.0,0.0,1.0,1.0,-18.829889553541427,,,0.0,,,,,,24.4
nonsemantic,100,MCTS,23.9,36550.907231184094,30.488158977091626,159.03649743756415,48.386672204724526,0.0,0.0,1.0,1.0,-19.052132697082563,,,0.0,,,,,,23.9
nonsemantic,200,Stochastic,43.5,26371.675120640277,20.378626116148002,115.19264537622337,173.69896208666734,0.0,0.0,1.0,1.0,-15.71441135635655,,,0.0,,,,,,43.5
nonsemantic,200,LinUCB,48.4,25707.442029840367,20.61094725698125,112.76750454593468,98.19104520683142,0.0,0.0,1.0,1.0,-16.178166972134342,,,0.0,,,,,,48.4
nonsemantic,200,SA,49.3,22649.475461347116,17.529921454977046,99.17839840727375,130.79949139503765,0.0,0.0,1.0,1.0,-15.940323248936352,,,0.0,,,,,,49.3
nonsemantic,200,Greedy,50.9,24188.137441483614,19.87944031445803,105.79058277636845,45.33464823532122,0.0,0.0,1.0,1.0,-16.016720685148556,,,0.0,,,,,,50.9
nonsemantic,200,MCTS,51.4,23446.60272573074,19.082027416963054,102.67253838402625,56.06107098334885,0.0,0.0,1.0,1.0,-15.957454788517484,,,0.0,,,,,,51.4
nonsemantic,300,Stochastic,66.5,17885.272597760384,12.29741589167924,78.60828767465293,281.6382903780922,0.0,0.0,1.0,1.0,-13.467871401088777,,,0.0,,,,,,66.5
