check,mode,area,policy,metric,paper_visual_estimate,reproduction,absolute_error,relative_error,verdict
Figure 3 finished,semantic,100,Stochastic,finished,10.000,28.300,18.300,1.830,mismatch
Figure 3 finished,semantic,100,LinUCB,finished,25.000,67.700,42.700,1.708,mismatch
Figure 3 finished,semantic,100,SA,finished,31.000,40.400,9.400,0.303,partial
Figure 3 finished,semantic,100,Greedy,finished,45.000,127.600,82.600,1.836,mismatch
Figure 3 finished,semantic,100,MCTS,finished,47.000,111.900,64.900,1.381,mismatch
Figure 3 finished,semantic,200,Stochastic,finished,20.000,51.000,31.000,1.550,mismatch
Figure 3 finished,semantic,200,LinUCB,finished,65.000,123.400,58.400,0.898,mismatch
Figure 3 finished,semantic,200,SA,finished,65.000,78.700,13.700,0.211,match
Figure 3 finished,semantic,200,Greedy,finished,145.000,170.800,25.800,0.178,match
Figure 3 finished,semantic,200,MCTS,finished,135.000,157.000,22.000,0.163,match
Figure 3 finished,semantic,300,Stochastic,finished,15.000,75.000,60.000,4.000,mismatch
Figure 3 finished,semantic,300,LinUCB,finished,65.000,127.500,62.500,0.962,mismatch
Figure 3 finished,semantic,300,SA,finished,50.000,90.100,40.100,0.802,mismatch
Figure 3 finished,semantic,300,Greedy,finished,205.000,187.400,-17.600,0.086,match
Figure 3 finished,semantic,300,MCTS,finished,195.000,158.500,-36.500,0.187,match
Figure 3 finished,semantic,400,Stochastic,finished,18.000,82.200,64.200,3.567,mismatch
Figure 3 finished,semantic,400,LinUCB,finished,100.000,128.700,28.700,0.287,partial
Figure 3 finished,semantic,400,SA,finished,85.000,111.500,26.500,0.312,partial
Figure 3 finished,semantic,400,Greedy,finished,200.000,194.900,-5.100,0.025,match
Figure 3 finished,semantic,400,MCTS,finished,225.000,160.900,-64.100,0.285,partial
Figure 3 finished,semantic,500,Stochastic,finished,18.000,82.700,64.700,3.594,mismatch
Figure 3 finished,semantic,500,LinUCB,finished,95.000,125.800,30.800,0.324,partial
Figure 3 finished,semantic,500,SA,finished,35.000,102.200,67.200,1.920,mismatch
Figure 3 finished,semantic,500,Greedy,finished,250.000,188.500,-61.500,0.246,match
Figure 3 finished,semantic,500,MCTS,finished,210.000,149.500,-60.500,0.288,partial
Figure 4 avg_time,semantic,100,LinUCB,avg_time,32.000,62.310,30.310,0.947,mismatch
Figure 4 avg_time,semantic,100,SA,avg_time,30.000,103.927,73.927,2.464,mismatch
Figure 4 avg_time,semantic,100,Greedy,avg_time,27.000,33.250,6.250,0.231,match
Figure 4 avg_time,semantic,100,MCTS,avg_time,22.000,44.072,22.072,1.003,mismatch
Figure 4 avg_time,semantic,200,LinUCB,avg_time,9.000,32.432,23.432,2.604,mismatch
Figure 4 avg_time,semantic,200,SA,avg_time,12.000,65.917,53.917,4.493,mismatch
Figure 4 avg_time,semantic,200,Greedy,avg_time,7.000,14.101,7.101,1.014,mismatch
Figure 4 avg_time,semantic,200,MCTS,avg_time,7.000,20.295,13.295,1.899,mismatch
Figure 4 avg_time,semantic,300,LinUCB,avg_time,10.000,29.525,19.525,1.953,mismatch
Figure 4 avg_time,semantic,300,SA,avg_time,12.000,54.860,42.860,3.572,mismatch
Figure 4 avg_time,semantic,300,Greedy,avg_time,5.000,11.184,6.184,1.237,mismatch
Figure 4 avg_time,semantic,300,MCTS,avg_time,5.000,19.329,14.329,2.866,mismatch
Figure 4 avg_time,semantic,400,LinUCB,avg_time,8.000,32.311,24.311,3.039,mismatch
Figure 4 avg_time,semantic,400,SA,avg_time,7.000,40.135,33.135,4.734,mismatch
Figure 4 avg_time,semantic,400,Greedy,avg_time,4.000,10.094,6.094,1.523,mismatch
Figure 4 avg_time,semantic,400,MCTS,avg_time,5.000,18.527,13.527,2.705,mismatch
Figure 4 avg_time,semantic,500,LinUCB,avg_time,10.000,32.705,22.705,2.270,mismatch
Figure 4 avg_time,semantic,500,SA,avg_time,15.000,42.035,27.035,1.802,mismatch
Figure 4 avg_time,semantic,500,Greedy,avg_time,4.000,11.128,7.128,1.782,mismatch
Figure 4 avg_time,semantic,500,MCTS,avg_time,5.000,21.118,16.118,3.224,mismatch
Figure 3 flight_energy,semantic,100,LinUCB,flight_energy_per_req,36000.000,14211.625,-21788.375,0.605,mismatch
Figure 3 flight_energy,semantic,100,SA,flight_energy_per_req,32000.000,23807.991,-8192.009,0.256,partial
Figure 3 flight_energy,semantic,100,Greedy,flight_energy_per_req,30000.000,7572.977,-22427.023,0.748,mismatch
Figure 3 flight_energy,semantic,100,MCTS,flight_energy_per_req,24000.000,10039.387,-13960.613,0.582,mismatch
Figure 3 flight_energy,semantic,200,LinUCB,flight_energy_per_req,10000.000,7267.632,-2732.368,0.273,partial
Figure 3 flight_energy,semantic,200,SA,flight_energy_per_req,14000.000,14991.545,991.545,0.071,match
Figure 3 flight_energy,semantic,200,Greedy,flight_energy_per_req,8000.000,3117.037,-4882.963,0.610,mismatch
Figure 3 flight_energy,semantic,200,MCTS,flight_energy_per_req,8500.000,4516.815,-3983.185,0.469,partial
Figure 3 flight_energy,semantic,300,LinUCB,flight_energy_per_req,10000.000,6489.156,-3510.844,0.351,partial
Figure 3 flight_energy,semantic,300,SA,flight_energy_per_req,13000.000,12394.812,-605.188,0.047,match
Figure 3 flight_energy,semantic,300,Greedy,flight_energy_per_req,5500.000,2415.999,-3084.001,0.561,mismatch
Figure 3 flight_energy,semantic,300,MCTS,flight_energy_per_req,6000.000,4244.766,-1755.234,0.293,partial
Figure 3 flight_energy,semantic,400,LinUCB,flight_energy_per_req,8000.000,7078.885,-921.115,0.115,match
Figure 3 flight_energy,semantic,400,SA,flight_energy_per_req,10000.000,8978.655,-1021.345,0.102,match
Figure 3 flight_energy,semantic,400,Greedy,flight_energy_per_req,5000.000,2103.930,-2896.070,0.579,mismatch
Figure 3 flight_energy,semantic,400,MCTS,flight_energy_per_req,5500.000,4018.157,-1481.843,0.269,partial
Figure 3 flight_energy,semantic,500,LinUCB,flight_energy_per_req,10000.000,7058.288,-2941.712,0.294,partial
Figure 3 flight_energy,semantic,500,SA,flight_energy_per_req,16000.000,9330.121,-6669.879,0.417,partial
Figure 3 flight_energy,semantic,500,Greedy,flight_energy_per_req,4500.000,2315.713,-2184.287,0.485,partial
Figure 3 flight_energy,semantic,500,MCTS,flight_energy_per_req,5500.000,4523.919,-976.081,0.177,match
Figure 6 finished,semantic,300,LinUCB,finished,65.000,127.500,62.500,0.962,mismatch
Figure 6 finished,semantic,300,SA,finished,50.000,90.100,40.100,0.802,mismatch
Figure 6 finished,semantic,300,Greedy,finished,205.000,187.400,-17.600,0.086,match
Figure 6 finished,semantic,300,MCTS,finished,180.000,158.500,-21.500,0.119,match
Figure 6 finished,nonsemantic,300,LinUCB,finished,60.000,66.500,6.500,0.108,match
Figure 6 finished,nonsemantic,300,SA,finished,45.000,68.300,23.300,0.518,mismatch
Figure 6 finished,nonsemantic,300,Greedy,finished,100.000,75.900,-24.100,0.241,match
Figure 6 finished,nonsemantic,300,MCTS,finished,65.000,77.000,12.000,0.185,match
