mode,area,policy,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,sinr_median_db
semantic,100,Stochastic,19.1,223721.6081699958,38.03293878582768,183.751221003756,81.71739779510284,15.4,7.6,-22.955767874251283
semantic,100,LinUCB,17.0,230418.22268893808,38.649787044034795,189.350140751537,32.3235300322133,14.6,1.9,-21.280526771946903
semantic,100,SA,30.5,215017.4580610139,35.82460003089828,176.6575094064998,51.76355524004333,29.4,0.9,-24.12015111197425
semantic,100,Greedy,33.0,177789.05065222637,29.790326041140617,146.09354480202512,34.34453650257536,31.8,0.0,-23.037398034098313
semantic,100,MCTS,30.6,202361.08032748016,33.809976069446556,166.19738424759376,43.40493665784383,29.6,0.9,-23.71920243088227
semantic,200,Stochastic,36.7,161373.8670118592,27.09410425772366,133.01561304679242,163.43232190772414,28.4,14.4,-18.472793585928148
semantic,200,LinUCB,40.2,129517.35413590595,21.739839795984604,106.65153620526755,68.45335291201971,34.1,3.6,-18.58059566411388
semantic,200,SA,82.4,93387.85212501741,15.939746501227154,77.48571211075239,69.07790695215574,80.9,6.2,-18.978965775994364
semantic,200,Greedy,74.0,107353.06051797599,18.47960186340521,88.56061154962973,35.37403047592264,72.6,0.0,-19.83679229612324
semantic,200,MCTS,66.2,101194.80278711385,17.331492867013125,83.6801337750363,54.484272935618286,64.9,2.5,-19.94181418135415
semantic,300,Stochastic,50.4,127609.43645653999,20.77474568648855,105.67960744593852,254.40105661806683,37.4,18.3,-16.695056901899957
semantic,300,LinUCB,78.6,79172.93491980809,13.616030447553964,65.40089193059666,64.7404279819282,70.1,2.2,-15.896005757240081
semantic,300,SA,104.8,64971.76257995609,11.097825639472948,54.60931820095517,108.40317502908053,102.1,11.6,-16.444278372118372
semantic,300,Greedy,118.6,59806.66977060705,10.678867447117502,49.866697476440194,38.60318649872424,116.7,0.0,-16.41561386731144
semantic,300,MCTS,98.7,72652.19356153821,12.691364021651628,60.60945336114321,65.32967110732054,96.8,6.9,-17.000009640410024
semantic,400,Stochastic,61.0,113567.4108345398,18.05130979237684,94.38891449949247,338.75050246763357,43.8,23.7,-15.49219179184961
semantic,400,LinUCB,109.6,55109.62583732601,9.608635864209937,45.81035794292612,69.87506007031854,97.3,2.9,-13.778471542669399
semantic,400,SA,133.0,52331.922896083735,8.878941005808638,44.4850301093358,134.05789293981135,130.2,17.0,-14.889896352637184
semantic,400,Greedy,151.7,42881.22157656367,7.88889999345241,35.99581467127703,38.482035048654375,147.6,0.0,-13.867594449297039
semantic,400,MCTS,129.8,49291.45179678793,8.763670662320438,41.75193808240938,82.3836653143201,126.6,11.3,-14.830957270339425
semantic,500,Stochastic,63.4,109801.07950462234,16.75317897052785,91.7936468422052,430.3329769625636,43.6,21.2,-14.902406411830631
semantic,500,LinUCB,114.1,53716.557884835245,9.340283673128084,44.669069378113946,73.65898848408168,99.3,2.4,-13.522735873186708
semantic,500,SA,133.1,50756.687195338265,8.36072341747371,43.583633222636756,176.65139964127997,129.1,17.7,-13.808586765931253
semantic,500,Greedy,178.8,32524.87448283207,6.1433061174994545,27.643476562801595,43.58340372512153,173.5,0.0,-12.10324982338751
semantic,500,MCTS,146.3,44116.484884593716,7.871693387854828,37.934096635328785,101.84088420238398,142.0,17.0,-13.16294215436719
nonsemantic,300,LinUCB,21.0,266149.4465829879,41.99530553343398,218.97665715532966,100.30540608090844,0.0,0.0,-16.20193919736897
nonsemantic,300,SA,23.0,223635.2473096509,35.21270475727293,183.79298461637242,76.41176541503592,0.0,0.0,-14.204287727410833
nonsemantic,300,Greedy,24.5,232980.43897246342,36.759769462013814,191.69928900668123,77.95035757790114,0.0,0.0,-15.106170468089786
nonsemantic,300,MCTS,25.5,236652.61623086105,37.287556706257625,194.50044231595032,85.32790444753566,0.0,0.0,-15.491421577589922
