check,mode,area,policy,metric,paper_visual_estimate,reproduction,absolute_error,relative_error,verdict
Figure 3 finished,semantic,100,Stochastic,finished,10.000,30.700,20.700,2.070,mismatch
Figure 3 finished,semantic,100,LinUCB,finished,25.000,69.300,44.300,1.772,mismatch
Figure 3 finished,semantic,100,SA,finished,31.000,42.500,11.500,0.371,partial
Figure 3 finished,semantic,100,Greedy,finished,45.000,126.400,81.400,1.809,mismatch
Figure 3 finished,semantic,100,MCTS,finished,47.000,107.500,60.500,1.287,mismatch
Figure 3 finished,semantic,200,Stochastic,finished,20.000,54.800,34.800,1.740,mismatch
Figure 3 finished,semantic,200,LinUCB,finished,65.000,110.900,45.900,0.706,mismatch
Figure 3 finished,semantic,200,SA,finished,65.000,77.600,12.600,0.194,match
Figure 3 finished,semantic,200,Greedy,finished,145.000,177.900,32.900,0.227,match
Figure 3 finished,semantic,200,MCTS,finished,135.000,153.600,18.600,0.138,match
Figure 3 finished,semantic,300,Stochastic,finished,15.000,74.400,59.400,3.960,mismatch
Figure 3 finished,semantic,300,LinUCB,finished,65.000,127.900,62.900,0.968,mismatch
Figure 3 finished,semantic,300,SA,finished,50.000,101.400,51.400,1.028,mismatch
Figure 3 finished,semantic,300,Greedy,finished,205.000,184.000,-21.000,0.102,match
Figure 3 finished,semantic,300,MCTS,finished,195.000,160.800,-34.200,0.175,match
Figure 3 finished,semantic,400,Stochastic,finished,18.000,77.300,59.300,3.294,mismatch
Figure 3 finished,semantic,400,LinUCB,finished,100.000,126.700,26.700,0.267,partial
Figure 3 finished,semantic,400,SA,finished,85.000,114.100,29.100,0.342,partial
Figure 3 finished,semantic,400,Greedy,finished,200.000,187.000,-13.000,0.065,match
Figure 3 finished,semantic,400,MCTS,finished,225.000,163.400,-61.600,0.274,partial
Figure 3 finished,semantic,500,Stochastic,finished,18.000,84.700,66.700,3.706,mismatch
Figure 3 finished,semantic,500,LinUCB,finished,95.000,122.800,27.800,0.293,partial
Figure 3 finished,semantic,500,SA,finished,35.000,102.300,67.300,1.923,mismatch
Figure 3 finished,semantic,500,Greedy,finished,250.000,195.700,-54.300,0.217,match
Figure 3 finished,semantic,500,MCTS,finished,210.000,158.200,-51.800,0.247,match
Figure 4 avg_time,semantic,100,LinUCB,avg_time,32.000,62.347,30.347,0.948,mismatch
Figure 4 avg_time,semantic,100,SA,avg_time,30.000,107.158,77.158,2.572,mismatch
Figure 4 avg_time,semantic,100,Greedy,avg_time,27.000,31.962,4.962,0.184,match
Figure 4 avg_time,semantic,100,MCTS,avg_time,22.000,43.134,21.134,0.961,mismatch
Figure 4 avg_time,semantic,200,LinUCB,avg_time,9.000,36.535,27.535,3.059,mismatch
Figure 4 avg_time,semantic,200,SA,avg_time,12.000,67.401,55.401,4.617,mismatch
Figure 4 avg_time,semantic,200,Greedy,avg_time,7.000,12.853,5.853,0.836,mismatch
Figure 4 avg_time,semantic,200,MCTS,avg_time,7.000,20.565,13.565,1.938,mismatch
Figure 4 avg_time,semantic,300,LinUCB,avg_time,10.000,26.447,16.447,1.645,mismatch
Figure 4 avg_time,semantic,300,SA,avg_time,12.000,46.814,34.814,2.901,mismatch
Figure 4 avg_time,semantic,300,Greedy,avg_time,5.000,10.633,5.633,1.127,mismatch
Figure 4 avg_time,semantic,300,MCTS,avg_time,5.000,19.856,14.856,2.971,mismatch
Figure 4 avg_time,semantic,400,LinUCB,avg_time,8.000,32.446,24.446,3.056,mismatch
Figure 4 avg_time,semantic,400,SA,avg_time,7.000,38.114,31.114,4.445,mismatch
Figure 4 avg_time,semantic,400,Greedy,avg_time,4.000,9.898,5.898,1.475,mismatch
Figure 4 avg_time,semantic,400,MCTS,avg_time,5.000,18.135,13.135,2.627,mismatch
Figure 4 avg_time,semantic,500,LinUCB,avg_time,10.000,30.528,20.528,2.053,mismatch
Figure 4 avg_time,semantic,500,SA,avg_time,15.000,42.967,27.967,1.864,mismatch
