mode,area,policy,mode_adaptive_semantic_count,mode_emergency_count,mode_fixed_count,mode_fixed_paper_like_count,mode_high_count,mode_low_count,mode_medium_count,mode_paper_like_count,mode_raw_count
nonsemantic,100,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7
nonsemantic,100,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4
nonsemantic,100,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2
nonsemantic,100,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4
nonsemantic,100,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9
nonsemantic,200,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5
nonsemantic,200,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4
nonsemantic,200,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.3
nonsemantic,200,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9
nonsemantic,200,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.4
nonsemantic,300,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5
nonsemantic,300,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5
nonsemantic,300,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.3
nonsemantic,300,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.9
nonsemantic,300,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
nonsemantic,400,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9
nonsemantic,400,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.7
nonsemantic,400,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1
nonsemantic,400,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4
nonsemantic,400,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
nonsemantic,500,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.3
nonsemantic,500,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8
nonsemantic,500,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.3
nonsemantic,500,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9
nonsemantic,500,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2
fixed_paper_like,100,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,22.8
fixed_paper_like,100,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.7,8.6
fixed_paper_like,100,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,15.7
fixed_paper_like,100,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.7,0.7
fixed_paper_like,100,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,5.9
fixed_paper_like,200,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,39.8
fixed_paper_like,200,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5,27.0
fixed_paper_like,200,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6,34.4
fixed_paper_like,200,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.9,3.1
fixed_paper_like,200,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.3,16.1
fixed_paper_like,300,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,51.6
fixed_paper_like,300,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.7,44.6
fixed_paper_like,300,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4,44.9
fixed_paper_like,300,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.8,2.9
fixed_paper_like,300,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.6,28.8
fixed_paper_like,400,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,62.8
fixed_paper_like,400,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.5,42.7
fixed_paper_like,400,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,50.0
fixed_paper_like,400,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.3,2.9
fixed_paper_like,400,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,39.5
fixed_paper_like,500,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,64.4
fixed_paper_like,500,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.1,49.2
fixed_paper_like,500,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.1,51.2
fixed_paper_like,500,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.2,2.4
fixed_paper_like,500,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.1,43.4
adaptive_semantic,100,Stochastic,0.0,8.9,0.0,0.0,0.4,1.5,0.0,0.0,24.6
adaptive_semantic,100,LinUCB,0.0,88.7,0.0,0.0,1.1,26.0,0.0,0.0,20.7
adaptive_semantic,100,SA,0.0,27.9,0.0,0.0,0.3,7.4,0.0,0.0,21.3
adaptive_semantic,100,Greedy,0.0,73.3,0.0,0.0,50.4,66.0,0.0,0.0,10.3
adaptive_semantic,100,MCTS,0.0,93.1,0.0,0.0,10.5,64.7,0.0,0.0,21.8
adaptive_semantic,200,Stochastic,0.0,12.4,0.0,0.0,1.5,6.5,0.0,0.0,42.6
adaptive_semantic,200,LinUCB,0.0,55.2,0.0,0.0,2.1,56.8,0.0,0.0,43.0
adaptive_semantic,200,SA,0.0,35.0,0.0,0.0,1.6,19.9,0.0,0.0,35.2
adaptive_semantic,200,Greedy,0.0,37.2,0.0,0.0,73.6,86.6,0.0,0.0,7.7
adaptive_semantic,200,MCTS,0.0,53.7,0.0,0.0,13.6,85.7,0.0,0.0,35.2
adaptive_semantic,300,Stochastic,0.0,11.9,0.0,0.0,1.0,10.6,0.0,0.0,56.5
adaptive_semantic,300,LinUCB,0.0,38.1,0.0,0.0,3.7,57.8,0.0,0.0,49.8
adaptive_semantic,300,SA,0.0,25.7,0.0,0.0,1.4,33.9,0.0,0.0,47.7
adaptive_semantic,300,Greedy,0.0,23.2,0.0,0.0,83.0,96.7,0.0,0.0,7.7
adaptive_semantic,300,MCTS,0.0,40.9,0.0,0.0,16.1,83.4,0.0,0.0,43.7
adaptive_semantic,400,Stochastic,0.0,7.4,0.0,0.0,2.1,11.5,0.0,0.0,63.7
adaptive_semantic,400,LinUCB,0.0,38.9,0.0,0.0,3.4,52.3,0.0,0.0,45.8
adaptive_semantic,400,SA,0.0,21.3,0.0,0.0,2.8,33.7,0.0,0.0,53.0
adaptive_semantic,400,Greedy,0.0,21.4,0.0,0.0,84.8,100.5,0.0,0.0,5.2
adaptive_semantic,400,MCTS,0.0,28.5,0.0,0.0,15.3,80.9,0.0,0.0,48.8
adaptive_semantic,500,Stochastic,0.0,7.6,0.0,0.0,2.6,11.5,0.0,0.0,65.9
adaptive_semantic,500,LinUCB,0.0,33.4,0.0,0.0,4.6,49.6,0.0,0.0,49.6
adaptive_semantic,500,SA,0.0,20.9,0.0,0.0,3.8,35.1,0.0,0.0,48.1
adaptive_semantic,500,Greedy,0.0,19.8,0.0,0.0,83.8,100.4,0.0,0.0,3.7
adaptive_semantic,500,MCTS,0.0,30.4,0.0,0.0,15.3,76.0,0.0,0.0,52.7
