mode,area,policy,repeat,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_adaptive_semantic_count,mode_emergency_count,mode_fixed_count,mode_fixed_paper_like_count,mode_high_count,mode_low_count,mode_medium_count,mode_paper_like_count,mode_raw_count
nonsemantic,100,Stochastic,0,13.0,28755.894240734688,23.05087319216597,126.12801101146276,100.03182153431044,0.0,0.0,1.0,1.0,-18.538040466009143,,,0.0,,,,,,13.0
nonsemantic,100,Stochastic,1,19.0,48140.680990080924,40.261388205032794,209.67787988681246,75.30061077094162,0.0,0.0,1.0,1.0,-21.828738249025577,,,0.0,,,,,,19.0
nonsemantic,100,Stochastic,2,24.0,36115.23858907134,29.642201672938793,157.26794879660733,81.63264849089373,0.0,0.0,1.0,1.0,-18.406003402719307,,,0.0,,,,,,24.0
nonsemantic,100,Stochastic,3,24.0,30743.06675155985,24.851983505097,133.88569607528703,93.35847824352392,0.0,0.0,1.0,1.0,-17.895797688161647,,,0.0,,,,,,24.0
nonsemantic,100,Stochastic,4,27.0,35555.20348065976,29.402279272452738,155.42423359006185,68.49148295166302,0.0,0.0,1.0,1.0,-13.290111052878677,,,0.0,,,,,,27.0
nonsemantic,100,Stochastic,5,19.0,56678.63111859293,47.509187744581034,247.43198416705994,87.8522289824477,0.0,0.0,1.0,1.0,-22.18277945694673,,,0.0,,,,,,19.0
nonsemantic,100,Stochastic,6,19.0,38595.24723978274,31.728602009220907,168.2948060495909,90.33939460664872,0.0,0.0,1.0,1.0,-19.25401269345211,,,0.0,,,,,,19.0
nonsemantic,100,Stochastic,7,21.0,51315.057553082646,42.647976811787544,223.45580742716388,100.67550563901007,0.0,0.0,1.0,1.0,-19.82995257356649,,,0.0,,,,,,21.0
nonsemantic,100,Stochastic,8,26.0,38586.65476123171,31.730023432517,167.9405882872468,89.15234001066781,0.0,0.0,1.0,1.0,-19.91250902770588,,,0.0,,,,,,26.0
nonsemantic,100,Stochastic,9,25.0,34701.43352041288,28.381444389956496,151.62122852853665,85.93490661147648,0.0,0.0,1.0,1.0,-20.21637655817078,,,0.0,,,,,,25.0
nonsemantic,100,LinUCB,0,28.0,49974.22858770446,42.2110867020748,218.0325255150647,47.095883236493954,0.0,0.0,1.0,1.0,-20.060389021760756,,,0.0,,,,,,28.0
nonsemantic,100,LinUCB,1,21.0,36870.406981729924,30.868085456039623,160.80527558108747,42.9095288135337,0.0,0.0,1.0,1.0,-14.564517867179473,,,0.0,,,,,,21.0
nonsemantic,100,LinUCB,2,16.0,43436.681091367725,36.52673895147099,189.14897083709025,43.84636485586186,0.0,0.0,1.0,1.0,-19.075963145756432,,,0.0,,,,,,16.0
nonsemantic,100,LinUCB,3,19.0,32227.354277541905,26.75220753056725,140.95737021318897,48.94586369866255,0.0,0.0,1.0,1.0,-19.939368378703666,,,0.0,,,,,,19.0
nonsemantic,100,LinUCB,4,32.0,40832.478415526675,34.07361420086271,178.0759027560331,57.565173164161095,0.0,0.0,1.0,1.0,-19.546654746030665,,,0.0,,,,,,32.0
nonsemantic,100,LinUCB,5,24.0,51566.843995335475,43.440928098230565,224.5764954424864,53.5496360811508,0.0,0.0,1.0,1.0,-17.938325667053867,,,0.0,,,,,,24.0
nonsemantic,100,LinUCB,6,19.0,28491.757569726295,23.583533357986862,124.38189230739685,42.04085468060573,0.0,0.0,1.0,1.0,-16.41648856521414,,,0.0,,,,,,19.0
nonsemantic,100,LinUCB,7,26.0,47901.92570545687,40.47015101222483,208.87279809019807,41.505315048369894,0.0,0.0,1.0,1.0,-20.803323930233752,,,0.0,,,,,,26.0
nonsemantic,100,LinUCB,8,29.0,38656.19224593477,32.335937020980055,168.72112205304205,48.16898439055252,0.0,0.0,1.0,1.0,-18.751577169397553,,,0.0,,,,,,29.0
nonsemantic,100,LinUCB,9,20.0,66705.43679525833,56.6989047919943,290.385025512907,46.874515922023065,0.0,0.0,1.0,1.0,-22.88464497521816,,,0.0,,,,,,20.0
nonsemantic,100,SA,0,27.0,33981.401327927524,27.95586011039401,147.87195793054286,69.9165205117762,0.0,0.0,1.0,1.0,-20.555840026019105,,,0.0,,,,,,27.0
