check,mode,area,policy,metric,paper_visual_estimate,reproduction,absolute_error,relative_error,verdict
Figure 3 finished,semantic,100,Stochastic,finished,10.000,19.100,9.100,0.910,mismatch
Figure 3 finished,semantic,100,LinUCB,finished,25.000,17.000,-8.000,0.320,partial
Figure 3 finished,semantic,100,SA,finished,31.000,30.500,-0.500,0.016,match
Figure 3 finished,semantic,100,Greedy,finished,45.000,33.000,-12.000,0.267,partial
Figure 3 finished,semantic,100,MCTS,finished,47.000,30.600,-16.400,0.349,partial
Figure 3 finished,semantic,200,Stochastic,finished,20.000,36.700,16.700,0.835,mismatch
Figure 3 finished,semantic,200,LinUCB,finished,65.000,40.200,-24.800,0.382,partial
Figure 3 finished,semantic,200,SA,finished,65.000,82.400,17.400,0.268,partial
Figure 3 finished,semantic,200,Greedy,finished,145.000,74.000,-71.000,0.490,partial
Figure 3 finished,semantic,200,MCTS,finished,135.000,66.200,-68.800,0.510,mismatch
Figure 3 finished,semantic,300,Stochastic,finished,15.000,50.400,35.400,2.360,mismatch
Figure 3 finished,semantic,300,LinUCB,finished,65.000,78.600,13.600,0.209,match
Figure 3 finished,semantic,300,SA,finished,50.000,104.800,54.800,1.096,mismatch
Figure 3 finished,semantic,300,Greedy,finished,205.000,118.600,-86.400,0.421,partial
Figure 3 finished,semantic,300,MCTS,finished,195.000,98.700,-96.300,0.494,partial
Figure 3 finished,semantic,400,Stochastic,finished,18.000,61.000,43.000,2.389,mismatch
Figure 3 finished,semantic,400,LinUCB,finished,100.000,109.600,9.600,0.096,match
Figure 3 finished,semantic,400,SA,finished,85.000,133.000,48.000,0.565,mismatch
Figure 3 finished,semantic,400,Greedy,finished,200.000,151.700,-48.300,0.242,match
Figure 3 finished,semantic,400,MCTS,finished,225.000,129.800,-95.200,0.423,partial
Figure 3 finished,semantic,500,Stochastic,finished,18.000,63.400,45.400,2.522,mismatch
Figure 3 finished,semantic,500,LinUCB,finished,95.000,114.100,19.100,0.201,match
Figure 3 finished,semantic,500,SA,finished,35.000,133.100,98.100,2.803,mismatch
Figure 3 finished,semantic,500,Greedy,finished,250.000,178.800,-71.200,0.285,partial
Figure 3 finished,semantic,500,MCTS,finished,210.000,146.300,-63.700,0.303,partial
Figure 4 avg_time,semantic,100,LinUCB,avg_time,32.000,189.350,157.350,4.917,mismatch
Figure 4 avg_time,semantic,100,SA,avg_time,30.000,176.658,146.658,4.889,mismatch
Figure 4 avg_time,semantic,100,Greedy,avg_time,27.000,146.094,119.094,4.411,mismatch
Figure 4 avg_time,semantic,100,MCTS,avg_time,22.000,166.197,144.197,6.554,mismatch
Figure 4 avg_time,semantic,200,LinUCB,avg_time,9.000,106.652,97.652,10.850,mismatch
Figure 4 avg_time,semantic,200,SA,avg_time,12.000,77.486,65.486,5.457,mismatch
Figure 4 avg_time,semantic,200,Greedy,avg_time,7.000,88.561,81.561,11.652,mismatch
Figure 4 avg_time,semantic,200,MCTS,avg_time,7.000,83.680,76.680,10.954,mismatch
Figure 4 avg_time,semantic,300,LinUCB,avg_time,10.000,65.401,55.401,5.540,mismatch
Figure 4 avg_time,semantic,300,SA,avg_time,12.000,54.609,42.609,3.551,mismatch
Figure 4 avg_time,semantic,300,Greedy,avg_time,5.000,49.867,44.867,8.973,mismatch
Figure 4 avg_time,semantic,300,MCTS,avg_time,5.000,60.609,55.609,11.122,mismatch
Figure 4 avg_time,semantic,400,LinUCB,avg_time,8.000,45.810,37.810,4.726,mismatch
Figure 4 avg_time,semantic,400,SA,avg_time,7.000,44.485,37.485,5.355,mismatch
Figure 4 avg_time,semantic,400,Greedy,avg_time,4.000,35.996,31.996,7.999,mismatch
Figure 4 avg_time,semantic,400,MCTS,avg_time,5.000,41.752,36.752,7.350,mismatch
