mode,area,policy,repeat,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_fixed_count,mode_fixed_neural_encoder_decoder_count,mode_neural_encoder_decoder_count,mode_raw_count
semantic,100,Stochastic,0,34.0,38133.87308361853,31.390870924546093,166.5471047208697,94.92829472981514,9.0,4.0,0.8161394082326371,0.7628676470588235,-20.656113619709693,0.0,0.0,9.0,25.0
semantic,100,Stochastic,1,26.0,45722.03868286039,37.96293073094018,199.46978947051642,96.70627142120317,7.0,5.0,0.8129964921340497,0.7588141025641028,-21.84668570958988,0.0,0.0,7.0,19.0
semantic,100,Stochastic,2,26.0,32162.437554078893,26.305129990551055,140.37381284477493,78.28359502052399,5.0,1.0,0.8664260658100355,0.8277243589743589,-18.35585270708921,0.0,0.0,5.0,21.0
semantic,100,Stochastic,3,34.0,31445.104620233444,25.788595137735136,136.9205788167172,74.80352657167785,6.0,4.0,0.8774262721550914,0.8419117647058824,-18.10030135280649,0.0,0.0,6.0,28.0
semantic,100,Stochastic,4,36.0,23829.564785869585,18.861583482082878,104.09633339863807,98.83140262340164,11.0,6.0,0.7877658601203897,0.7262731481481481,-19.57560448161268,0.0,0.0,11.0,25.0
semantic,100,Stochastic,5,33.0,33849.00163281296,27.626293627056082,147.39373189577267,98.3695866072795,11.0,6.0,0.7684718474040615,0.7013888888888888,-19.69581083437044,0.0,0.0,11.0,22.0
semantic,100,Stochastic,6,33.0,31214.95704423623,25.346457682904152,136.17095606159785,94.91720379729944,15.0,4.0,0.6842797919146293,0.5928030303030303,-21.949945031903333,0.0,0.0,15.0,18.0
semantic,100,Stochastic,7,27.0,36750.96327506398,30.36082950791096,159.93731104056695,76.95326922153292,8.0,6.0,0.7941971976924991,0.7345679012345678,-19.573060799797247,0.0,0.0,8.0,19.0
semantic,100,Stochastic,8,45.0,23034.154313597042,18.34558696092106,100.83841155839347,84.69960237379436,12.0,9.0,0.8147774779232494,0.7611111111111113,-17.635942834215765,0.0,0.0,12.0,33.0
semantic,100,Stochastic,9,21.0,26466.747579088733,21.382874939401216,115.31784631478484,77.84878637654671,3.0,2.0,0.9007736488874549,0.8720238095238095,-18.677040347424285,0.0,0.0,3.0,18.0
semantic,100,LinUCB,0,75.0,8353.154336482725,6.001176140636312,36.966406976129434,65.87608415427952,66.0,28.0,0.38876567714672233,0.21166666666666642,-18.716835810433306,0.0,0.0,66.0,9.0
semantic,100,LinUCB,1,49.0,14128.411262607095,11.017656016210585,61.87425369786396,64.46444613594191,41.0,16.0,0.41881708634080744,0.25042517006802717,-22.231797525669176,0.0,0.0,41.0,8.0
semantic,100,LinUCB,2,65.0,8484.528995280305,5.878268821212306,37.51105317198977,83.65239303291709,60.0,26.0,0.35884511588817036,0.17307692307692285,-21.48680673233512,0.0,0.0,60.0,5.0
semantic,100,LinUCB,3,74.0,10513.431835112897,7.651982530399074,46.2076592960875,81.19775022341241,67.0,27.0,0.3711194774083292,0.1889076576576574,-22.131344384515643,0.0,0.0,67.0,7.0
semantic,100,LinUCB,4,67.0,9344.339805337771,6.694050207799897,41.08671105577459,78.13168058541527,58.0,28.0,0.3987179320642791,0.22450248756218888,-20.738355300701254,0.0,0.0,58.0,9.0
semantic,100,LinUCB,5,81.0,12124.354108679632,9.15572634892263,53.270502683167486,70.61547456646952,71.0,21.0,0.3911667098403099,0.21476337448559651,-18.2125590080666,0.0,0.0,71.0,10.0
semantic,100,LinUCB,6,73.0,11579.537755669076,8.751488148262661,51.1443145677677,65.48424301419466,62.0,18.0,0.4100789536596635,0.23915525114155253,-19.331500808745208,0.0,0.0,62.0,11.0
semantic,100,LinUCB,7,39.0,8051.152038212824,5.693289131793597,35.48879850315118,62.955712006012924,34.0,12.0,0.39446483167216084,0.219017094017094,-19.70700376008213,0.0,0.0,34.0,5.0
semantic,100,LinUCB,8,77.0,10563.975349118224,7.7309186301223125,46.438116077144336,73.60802287988875,64.0,20.0,0.4226830480724651,0.2554112554112556,-21.201378015348137,0.0,0.0,64.0,13.0
semantic,100,LinUCB,9,53.0,13410.347202940462,10.464846927260364,58.811717563042585,61.78793279163558,44.0,20.0,0.4233638463648324,0.2562893081761004,-21.944695511900882,0.0,0.0,44.0,9.0
